,geneSymbol,pax6_baseMean,pax6_log2FoldChange,pax6_pvalue,pax6_padj,pax6_threshold,tbr2_baseMean,tbr2_log2FoldChange,tbr2_pvalue,tbr2_padj,tbr2_threshold,neg_baseMean,neg_log2FoldChange,neg_pvalue,neg_padj,neg_threshold
ENSMUSG00000052426,Gm9877,0,NA,NA,NA,NA,0.124252352,-0.026983359,0.501274724,NA,NA,0.475885939,0.006739784,0.863861802,NA,NA
ENSMUSG00000052428,Tmco1,186.8255186,-0.037997907,0.829062174,0.98050245,FALSE,111.5660381,-0.173230689,0.251668852,0.802235468,FALSE,121.3775651,-0.028855815,0.836385507,0.998229952,FALSE
ENSMUSG00000052429,Prmt1,713.4792897,-0.139477652,0.233149534,0.762171462,FALSE,671.4955734,-0.196334341,0.112763163,0.628832045,FALSE,480.6989457,0.014219587,0.899769285,0.998587315,FALSE
ENSMUSG00000052430,Bmpr1b,318.6141808,0.437232547,0.000500151,0.014207538,TRUE,21.74305987,0.231934046,0.265639789,0.81449888,FALSE,180.3998839,-0.058610047,0.629545044,0.989160178,FALSE
ENSMUSG00000052435,Cebpe,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.302808821,-0.028436411,0.33623766,NA,NA
ENSMUSG00000052446,Zfp961,332.8399891,0.122610938,0.322682788,0.835805073,FALSE,188.6312649,0.04393682,0.765148233,0.971028661,FALSE,259.2789521,0.130037394,0.268282743,0.953550706,FALSE
ENSMUSG00000052456,Asna1,431.6962085,-0.126942802,0.341582131,0.849361355,FALSE,353.2016621,-0.08772936,0.498997638,0.920708811,FALSE,243.5866077,-0.157678575,0.210044278,0.949939453,FALSE
ENSMUSG00000052459,Atp6v1a,684.3311263,-0.202888087,0.075704734,0.502004623,FALSE,579.1329425,-0.03880701,0.755087415,0.971028661,FALSE,1042.613386,5.59E-05,0.999485569,0.999760273,FALSE
ENSMUSG00000052467,D630004N19Rik,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052468,Pmp2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052469,Tcp10c,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.049389851,-0.010185218,0.610404893,NA,NA
ENSMUSG00000052471,Gm9881,4.226875582,0.069337075,0.631093347,NA,NA,1.684931208,0.00031088,0.997893141,NA,NA,0.411471365,-0.040291596,0.255276962,NA,NA
ENSMUSG00000052477,C130026I21Rik,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.125310436,0.013487708,0.509558609,NA,NA
ENSMUSG00000052479,A330008L17Rik,16.15727002,0.790359155,0.000136211,0.004852435,TRUE,209.9834487,0.003310883,0.979316543,0.999257357,FALSE,104.7638559,-0.002395234,0.985432988,0.998587315,FALSE
