Mon1b	MON1 homolog B, secretory traffciking associated
 secretory traffciking associated	NA
D630044L22Rik	RIKEN cDNA gene D630044L22 gene
Isy1	ISY1 splicing factor homolog
Gm24871	predicted gene, 24871
 24871	NA
Lgals8	lectin, galactose binding, soluble 8
 galactose binding	NA
Tcrg-V3	NA
Gm21907	predicted gene, 21907
 21907	NA
Xlr4a	X-linked lymphocyte-regulated 4A
Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
 integrin-associated signal transducer)	NA
4930577H14Rik	RIKEN cDNA 4930577H14 gene
Gm22215	predicted gene, 22215
 22215	NA
E2f7	E2F transcription factor 7
Sarnp	SAP domain containing ribonucleoprotein
Gm26353	NA
Gm14686	eukaryotic translation initiation factor 1 pseudogene
Ntng2	netrin G2
Pin1rt1	peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1, retrogene 1
 NIMA-interacting 1	NA
Magea1	MAGE family member A1
Olfr1294	NA
Gm13229	60S acidic ribosomal protein P1 pseudogene
Jmjd4	jumonji domain containing 4
HOTTIP_1	NA
Gm15120	NA
Gm5457	ubiquinol-cytochrome c reductase binding protein pseudogene
AA474408	expressed sequence AA474408
C630004L07Rik	RIKEN cDNA C630004L07 gene
Gm13566	TBC1 domain family, member 15 pseudogene
 member 15 pseudogene	NA
Apbb1	amyloid beta precursor protein binding family B member 1
Foxn3	forkhead box N3
Gm23439	predicted gene, 23439
 23439	NA
Gm6625	predicted gene 6625
Gm20497	NA
Gm15575	RNA binding motif protein 39 pseudogene
Ubn1	ubinuclein 1
4833427G06Rik	NA
Gm14500	NA
Ifitm7	interferon induced transmembrane protein 7
Gm6684	glutathione S-transferase kappa 1
Gm17662	NA
Gm15825	predicted gene 15825
Gm3512	predicted gene 3512
Spata5	NA
Atp13a4	ATPase type 13A4
Gm3835	predicted pseudogene 3835
4930519D14Rik	RIKEN cDNA 4930519D14 gene
Strn4	striatin, calmodulin binding protein 4
 calmodulin binding protein 4	NA
Prl6a1	prolactin family 6, subfamily a, member 1
 subfamily a	NA
Nelfb	negative elongation factor complex member B
Gm3015	predicted gene 3015
Mir500	microRNA 500
Mup6	major urinary protein 6
Gm11203	phosphoglycerate mutase 1 pseudogene
E130111B04Rik	RIKEN cDNA E130111B04 gene
4930544G11Rik	RIKEN cDNA 4930544G11 gene
Gm6096	predicted gene 6096
Gm10535	predicted gene 10535
Gm22093	NA
Gm22095	NA
Lrrc16a	NA
12-Sep	NA
Gm20781	predicted gene, 20781
 20781	NA
Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit
 voltage-dependent	NA
 alpha 1G subunit	NA
Gm14205	NA
1110002J07Rik	RIKEN cDNA 1110002J07 gene
Pcdhb15	protocadherin beta 15
Rpl21-ps13	ribosomal protein L21-ps13
3110082I17Rik	RIKEN cDNA 3110082I17 gene
Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
 group VII (platelet-activating factor acetylhydrolase	NA
Sidt2	SID1 transmembrane family, member 2
 member 2	NA
Taf9b	TATA-box binding protein associated factor 9B
Cd300lb	CD300 molecule like family member B
Gm20465	predicted gene 20465
E130309F12Rik	NA
Rnf126	ring finger protein 126
Gm17137	LAG1 homolog, ceramide synthase 2 pseudogene
 ceramide synthase 2 pseudogene	NA
Gm22559	predicted gene, 22559
 22559	NA
1810020O05Rik	NA
Gm11835	NA
Syde1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)
 Rho GTPase	NA
Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4
 complementation group 4	NA
Gm14197	predicted gene 14197
Vmn2r38	vomeronasal 2, receptor 38
 receptor 38	NA
Elof1	ELF1 homolog, elongation factor 1
 elongation factor 1	NA
Gm24455	predicted gene, 24455
 24455	NA
Scyl3	SCY1-like 3 (S. cerevisiae)
Gm24687	NA
Gm4149	ribosomal protein L37a pseudogene
Gm11127	NA
Ythdf2	YTH N6-methyladenosine RNA binding protein 2
Gm23208	NA
Swsap1	SWIM type zinc finger 7 associated protein 1
Gm24833	predicted gene, 24833
 24833	NA
Psd3	pleckstrin and Sec7 domain containing 3
Psip1	PC4 and SFRS1 interacting protein 1
n-R5s141	nuclear encoded rRNA 5S 141
Gm5759	60S ribosomal protein L7a pseudogene
Sox2ot	SOX2 overlapping transcript (non-protein coding)
Slc38a9	solute carrier family 38, member 9
 member 9	NA
Gm22905	NA
Ccdc25	coiled-coil domain containing 25
A330074K22Rik	RIKEN cDNA A330074K22 gene
Cox5a	cytochrome c oxidase subunit 5A
Gm11568	NA
Mir425	microRNA 425
Gm6768	NA
Gm13601	predicted gene 13601
Zfp804a	zinc finger protein 804A
Ikbkb	inhibitor of kappaB kinase beta
Glcci1	glucocorticoid induced transcript 1
Il15ra	interleukin 15 receptor, alpha chain
 alpha chain	NA
Gm11380	60S ribosomal protein L17-like
Zfp322a	zinc finger protein 322A
Mir669k	microRNA 669k
Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1
n-R5s12	nuclear encoded rRNA 5S 12
Gm15005	NA
Gm12521	NA
Gm6465	predicted gene 6465
Tesc	tescalcin
3300002A11Rik	RIKEN cDNA 3300002A11 gene
RP24-399L6.2	NA
Gm17631	NA
Traj12	T cell receptor alpha joining 12
Med30	mediator complex subunit 30
Zc3h13	zinc finger CCCH type containing 13
Ubac2	ubiquitin associated domain containing 2
Ifrd1	interferon-related developmental regulator 1
Thrsp	thyroid hormone responsive
Slurp1	secreted Ly6/Plaur domain containing 1
Gm17100	NA
Qtrt1	queuine tRNA-ribosyltransferase catalytic subunit 1
Emc6	ER membrane protein complex subunit 6
Tpbg	trophoblast glycoprotein
Pla2g4c	phospholipase A2, group IVC (cytosolic, calcium-independent)
 group IVC (cytosolic	NA
A330044P14Rik	NA
Slu7	SLU7 splicing factor homolog (S. cerevisiae)
Cyp2d37-ps	cytochrome P450, family 2, subfamily d, polypeptide 37, pseudogene
 family 2	NA
 polypeptide 37	NA
4921528I07Rik	RIKEN cDNA 4921528I07 gene
4930513O06Rik	RIKEN cDNA 4930513O06 gene
Gm8032	predicted gene 8032
B3gnt1	NA
Mir675	microRNA 675
Gm22238	NA
Rpl13-ps1	ribosomal protein L13, pseudogene 1
 pseudogene 1	NA
Gm22720	predicted gene, 22720
 22720	NA
Cml1	NA
Pank1	pantothenate kinase 1
Gm9574	histocompatibility 2, T region pseudogene
 T region pseudogene	NA
Fdxacb1	ferredoxin-fold anticodon binding domain containing 1
Gm13243	tousled-like kinase 2 pseudogene
E030024N20Rik	RIKEN cDNA E030024N20 gene
1700123O12Rik	RIKEN cDNA 1700123O12 gene
Gm12813	predicted gene 12813
Cd5	CD5 antigen
Gm15757	NA
Art5	ADP-ribosyltransferase 5
Gm15284	NA
Zfp428	zinc finger protein 428
Gm25652	predicted gene, 25652
 25652	NA
Zfyve19	zinc finger, FYVE domain containing 19
 FYVE domain containing 19	NA
Snora26	small nucleolar RNA, H/ACA box 26
 H/ACA box 26	NA
Trbv13-2	T cell receptor beta, variable 13-2
 variable 13-2	NA
Gm26162	predicted gene, 26162
 26162	NA
Gm12494	predicted gene 12494
Gm23224	NA
Olfr361	NA
Pum2	pumilio RNA-binding family member 2
Gm26327	predicted gene, 26327
 26327	NA
Mir676	microRNA 676
Crbn	cereblon
Stxbp5l	syntaxin binding protein 5-like
Gm26923	predicted gene, 26923
 26923	NA
Zc3h3	zinc finger CCCH type containing 3
Mir141	microRNA 141
Gm13518	NA
Gpr64	NA
Gm13058	predicted gene 13058
Ostf1	osteoclast stimulating factor 1
Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
Gm16179	NA
Psapl1	prosaposin-like 1
Mtmr2	myotubularin related protein 2
Fign	fidgetin
Gm7925	predicted gene 7925
1810041L15Rik	NA
Gm10985	NA
Mfsd11	major facilitator superfamily domain containing 11
Maoa	monoamine oxidase A
Diras2	DIRAS family, GTP-binding RAS-like 2
 GTP-binding RAS-like 2	NA
Gm7583	predicted gene 7583
Gm15539	predicted gene 15539
Gm15502	NA
Cnot8	CCR4-NOT transcription complex, subunit 8
 subunit 8	NA
Stard9	StAR related lipid transfer domain containing 9
Upk3a	uroplakin 3A
Smarcc2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
 matrix associated	NA
 subfamily c	NA
Gm14617	predicted gene 14617
Rpl35a-ps6	ribosomal protein L35A, pseudogene 6
 pseudogene 6	NA
Olfr666	NA
Paip2	polyadenylate-binding protein-interacting protein 2
Zfp934	zinc finger protein 934
Abcf1	ATP-binding cassette, sub-family F member 1
 sub-family F member 1	NA
Gm14249	predicted gene 14249
Fam103a1	NA
Rpl9-ps7	ribosomal protein L9, pseudogene 7
 pseudogene 7	NA
Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
Gm20646	predicted gene 20646
Ctcfl	CCCTC-binding factor like
Gm14710	predicted gene 14710
Hao2	hydroxyacid oxidase 2
Tenm4	teneurin transmembrane protein 4
Alox5	arachidonate 5-lipoxygenase
4933408N05Rik	RIKEN cDNA 4933408N05 gene
Ticam2	TIR domain containing adaptor molecule 2
Gm21245	predicted gene, 21245
 21245	NA
Gm6999	predicted gene 6999
Vmn1r-ps111	vomeronasal 1 receptor, pseudogene 111
 pseudogene 111	NA
Gm24252	predicted gene, 24252
 24252	NA
RP24-67I21.6	NA
Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
Gltp	glycolipid transfer protein
Gm6686	predicted pseudogene 6686
Tstd1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1
Gm13257	predicted gene 13257
Phf11b	PHD finger protein 11B
Tlr11	toll-like receptor 11
Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
 GABA)	NA
Thap2	THAP domain containing, apoptosis associated protein 2
 apoptosis associated protein 2	NA
Gm10330	predicted gene 10330
Tiam2	T cell lymphoma invasion and metastasis 2
Ssx9	NA
Hivep2	human immunodeficiency virus type I enhancer binding protein 2
AI507597	expressed sequence AI507597
Pdxp	pyridoxal (pyridoxine, vitamin B6) phosphatase
 vitamin B6) phosphatase	NA
Gm11881	NA
Hhat	hedgehog acyltransferase
9630041A04Rik	RIKEN cDNA 9630041A04 gene
Gm9062	mitochondrial ribosomal protein L10 pseudogene
Atp5g3	NA
Gm21917	predicted gene, 21917
 21917	NA
Hsfy2	heat shock transcription factor, Y-linked 2
 Y-linked 2	NA
Olfr1247	NA
Gm5645	predicted pseudogene 5645
1700071M16Rik	RIKEN cDNA 1700071M16 gene
Gm5466	poly(A) binding protein, cytoplasmic 4 pseudogene
 cytoplasmic 4 pseudogene	NA
Gm4810	SNW domain containing 1 pseudogene
Cdk5r1	cyclin dependent kinase 5, regulatory subunit 1
 regulatory subunit 1	NA
Ptgr1	prostaglandin reductase 1
Mpp1	membrane protein, palmitoylated
 palmitoylated	NA
Gm26473	predicted gene, 26473
 26473	NA
Gm5963	40S ribosomal protein S21 pseudogene
Spag17	sperm associated antigen 17
Gm23745	predicted gene, 23745
 23745	NA
Gm13227	NA
Gm13118	chromobox homolog 3 pseudogene
Dirc2	NA
Acot8	acyl-CoA thioesterase 8
Gm9104	ribosomal protein L21 pseudogene
Defb23	defensin beta 23
Gm12932	NA
Tor3a	torsin family 3, member A
 member A	NA
Gm7982	NA
Eif3e	eukaryotic translation initiation factor 3, subunit E
 subunit E	NA
Armc1	armadillo repeat containing 1
Slc25a51	solute carrier family 25, member 51
 member 51	NA
Gm14582	predicted gene 14582
Tnks1bp1	tankyrase 1 binding protein 1
Tmem98	transmembrane protein 98
Fam213a	NA
Gm12576	predicted gene 12576
Zfp366	zinc finger protein 366
Olfr749	NA
Dnm1	dynamin 1
Gm21837	NA
Gm25923	NA
Tnfrsf4	tumor necrosis factor receptor superfamily, member 4
 member 4	NA
Olfr1410	NA
Gm15803	60S ribosomal protein L31 pseudogene
Gm12094	60S ribosomal protein L23a pseudogene
Gm11575	NA
Gm27038	NA
Gm24760	predicted gene, 24760
 24760	NA
Gm20873	predicted gene, 20873
 20873	NA
Sf3b1	splicing factor 3b, subunit 1
 subunit 1	NA
Epyc	epiphycan
Celf4	CUGBP, Elav-like family member 4
 Elav-like family member 4	NA
Gm16184	ribosomal protein L14 pseudogene
Nphp3	nephronophthisis 3 (adolescent)
